Date,Open,High,Low,Close,Adj Close,Volume
2017-12-31,3.303740,3.663230,3.296290,3.550870,3.550870,167520992
2018-01-01,3.555910,4.364400,3.420040,3.974400,3.974400,256630000
2018-01-02,4.088250,4.313020,3.839770,3.996150,3.996150,269750016
2018-01-03,3.996980,4.185330,3.902390,4.126840,4.126840,203783008
2018-01-04,4.125290,4.503330,3.755300,4.082310,4.082310,376974016
2018-01-05,4.060620,4.197300,3.658270,3.754450,3.754450,219320000
2018-01-06,3.754930,4.190280,3.754550,3.942230,3.942230,161228000
2018-01-07,3.946090,4.580390,3.931310,4.070560,4.070560,249832992
2018-01-08,4.070640,4.189740,3.364060,3.845850,3.845850,317248000
2018-01-09,3.842560,3.916050,3.451290,3.537170,3.537170,200086000
2018-01-10,3.555640,3.783890,3.205440,3.783890,3.783890,235594000
2018-01-11,3.776300,3.824480,3.183840,3.367330,3.367330,245028000
2018-01-12,3.379490,3.734740,3.288820,3.691030,3.691030,129802000
2018-01-13,3.700120,4.104410,3.700120,3.936980,3.936980,198148992
2018-01-14,3.934850,3.979490,3.581780,3.735530,3.735530,130318000
2018-01-15,3.718030,3.760500,3.479090,3.482270,3.482270,94966600
2018-01-16,3.470550,3.470550,1.996240,2.600850,2.600850,256703008
2018-01-17,2.603140,2.918910,1.994980,2.716620,2.716620,239578000
2018-01-18,2.719710,3.028480,2.600060,2.754770,2.754770,125440000
2018-01-19,2.745340,2.931460,2.564600,2.697170,2.697170,103437000
2018-01-20,2.709170,3.138520,2.709170,3.004910,3.004910,140378000
2018-01-21,3.007250,3.010590,2.637650,2.766830,2.766830,94697296
2018-01-22,2.783960,2.902060,2.178780,2.468240,2.468240,125555000
2018-01-23,2.468610,2.624550,2.242710,2.495830,2.495830,81217504
2018-01-24,2.517710,2.573700,2.367620,2.434620,2.434620,73441600
2018-01-25,2.462700,2.589570,2.336020,2.365210,2.365210,56586500
2018-01-26,2.359430,2.454440,2.202190,2.373400,2.373400,62216500
2018-01-27,2.377260,2.494250,2.366270,2.449330,2.449330,43333600
2018-01-28,2.457450,2.560220,2.456750,2.521780,2.521780,47752200
2018-01-29,2.521120,2.584940,2.404050,2.576390,2.576390,60210600
2018-01-30,2.588650,2.636950,2.202170,2.218760,2.218760,94218096
2018-01-31,2.217270,2.340550,2.177480,2.308150,2.308150,48505200
2018-02-01,2.309730,2.327480,1.752990,1.906840,1.906840,108876000
2018-02-02,1.899870,1.920550,1.409550,1.807950,1.807950,118068000
2018-02-03,1.807160,2.023180,1.626750,1.989410,1.989410,64062000
2018-02-04,1.980110,2.068760,1.643310,1.744110,1.744110,59380900
2018-02-05,1.751310,1.769900,1.347920,1.445230,1.445230,69213800
2018-02-06,1.476800,1.701520,1.203390,1.623180,1.623180,101327000
2018-02-07,1.615940,1.877680,1.529550,1.600220,1.600220,65922600
2018-02-08,1.610230,1.850980,1.610230,1.783450,1.783450,51576300
2018-02-09,1.782210,1.965600,1.698430,1.958110,1.958110,45992000
2018-02-10,1.956420,2.125020,1.785290,1.860460,1.860460,68051904
2018-02-11,1.858290,1.858290,1.621570,1.701930,1.701930,45356200
2018-02-12,1.713880,1.906140,1.713880,1.870860,1.870860,36974300
2018-02-13,1.874990,1.874990,1.751160,1.814620,1.814620,30056900
2018-02-14,1.817740,2.034730,1.793290,2.031970,2.031970,53007600
2018-02-15,2.027450,2.168780,1.997950,2.125760,2.125760,65315300
2018-02-16,2.120690,2.176500,2.000230,2.103950,2.103950,44770200
2018-02-17,2.101840,2.209370,2.082180,2.196490,2.196490,42149700
2018-02-18,2.202390,2.211740,1.981790,1.981790,1.981790,43653800
2018-02-19,1.986530,2.143670,1.986530,2.085020,2.085020,32581400
2018-02-20,2.086870,2.117200,1.880170,1.912180,1.912180,49930400
2018-02-21,1.896360,1.959830,1.739080,1.756870,1.756870,50765900
2018-02-22,1.750330,1.858830,1.579550,1.624970,1.624970,53125800
2018-02-23,1.611850,1.814000,1.579680,1.752210,1.752210,39323100
2018-02-24,1.751340,1.804020,1.649270,1.776010,1.776010,41594100
2018-02-25,1.768890,1.978910,1.750710,1.815910,1.815910,103799000
2018-02-26,1.816670,1.904460,1.773160,1.868040,1.868040,43478500
2018-02-27,1.877140,2.075890,1.818490,1.973900,1.973900,63311700
2018-02-28,1.970960,2.022990,1.851320,1.856530,1.856530,39190300
2018-03-01,1.853810,2.007750,1.838430,1.969630,1.969630,41523600
2018-03-02,1.981560,2.007610,1.864300,1.916230,1.916230,27602600
2018-03-03,1.908660,1.955410,1.847420,1.863670,1.863670,25861200
2018-03-04,1.863330,1.909400,1.812560,1.894400,1.894400,28452300
2018-03-05,1.896810,1.903260,1.855600,1.877340,1.877340,24413600
