Date,Open,High,Low,Close,Adj Close,Volume
2022-01-06,2.906157,2.934992,2.823430,2.925126,2.925126,562049124
2022-01-07,2.924836,2.927802,2.721691,2.839921,2.839921,708159836
2022-01-08,2.839667,2.891046,2.696945,2.759329,2.759329,448738139
2022-01-09,2.759226,2.836946,2.751641,2.796185,2.796185,315643222
2022-01-10,2.796433,2.823613,2.600688,2.703787,2.703787,572067635
2022-01-11,2.704476,2.797539,2.698520,2.768720,2.768720,378998266
2022-01-12,2.769266,2.905830,2.768427,2.883418,2.883418,370140382
2022-01-13,2.883626,2.902351,2.789387,2.793612,2.793612,341693978
2022-01-14,2.793779,2.919174,2.781889,2.868953,2.868953,406988653
2022-01-15,2.868950,2.946704,2.857329,2.915651,2.915651,326641026
2022-01-16,2.914520,2.945291,2.875803,2.909366,2.909366,252911564
2022-01-17,2.909530,2.911080,2.789199,2.832715,2.832715,300816621
2022-01-18,2.832780,2.928255,2.763653,2.830991,2.830991,408227823
2022-01-19,2.830757,2.868898,2.713806,2.750193,2.750193,358340937
2022-01-20,2.749578,2.840910,2.630607,2.631025,2.631025,308236856
2022-01-21,2.631749,2.656128,2.332065,2.361807,2.361807,722596584
2022-01-22,2.362800,2.427254,2.056279,2.220368,2.220368,976270441
2022-01-23,2.220965,2.286822,2.169162,2.272168,2.272168,461301423
2022-01-24,2.272447,2.273881,2.001805,2.199980,2.199980,698802037
2022-01-25,2.199874,2.232076,2.165930,2.222642,2.222642,362232470
2022-01-26,2.222606,2.370508,2.193147,2.217649,2.217649,445286819
2022-01-27,2.217226,2.239206,2.136753,2.219505,2.219505,329714931
2022-01-28,2.219408,2.317340,2.189586,2.309979,2.309979,297083849
2022-01-29,2.309686,2.369157,2.299827,2.335995,2.335995,228398941
2022-01-30,2.336550,2.364068,2.269434,2.319079,2.319079,218489624
2022-01-31,2.319170,2.347505,2.221870,2.342017,2.342017,246405712
2022-02-01,2.341622,2.371018,2.316395,2.356949,2.356949,242891013
2022-02-02,2.356999,2.447980,2.276837,2.280336,2.280336,298388141
2022-02-03,2.279872,2.298077,2.241668,2.298077,2.298077,245506722
2022-02-04,2.298029,2.480252,2.293915,2.480213,2.480213,359588700
2022-02-05,2.480336,2.522598,2.451819,2.480287,2.480287,292352822
2022-02-06,2.480337,2.544864,2.448099,2.540003,2.540003,211115386
2022-02-07,2.539947,2.715859,2.494013,2.689138,2.689138,452774421
2022-02-08,2.690083,2.757208,2.552978,2.633662,2.633662,509597021
2022-02-09,2.632500,2.696036,2.599268,2.669340,2.669340,307010775
2022-02-10,2.669532,2.752138,2.557727,2.561119,2.561119,498348260
2022-02-11,2.561264,2.600362,2.398788,2.415598,2.415598,409357665
2022-02-12,2.415549,2.434938,2.349626,2.394933,2.394933,281853414
2022-02-13,2.393546,2.426702,2.356185,2.389795,2.389795,214138352
2022-02-14,2.388575,2.394044,2.321156,2.372907,2.372907,234983629
2022-02-15,2.372805,2.534537,2.367840,2.526878,2.526878,256044539
2022-02-16,2.527262,2.566361,2.471501,2.553727,2.553727,334554241
2022-02-17,2.552592,2.579321,2.306330,2.325260,2.325260,363216793
2022-02-18,2.325974,2.378792,2.284431,2.299217,2.299217,321896293
2022-02-19,2.299000,2.334544,2.241000,2.289203,2.289203,267695507
2022-02-20,2.288923,2.293757,2.178091,2.206110,2.206110,294230735
2022-02-21,2.205592,2.272951,2.077367,2.080924,2.080924,445129835
2022-02-22,2.080376,2.173680,2.046253,2.168940,2.168940,385658015
2022-02-23,2.168812,2.227063,2.109959,2.110765,2.110765,291249110
2022-02-24,2.109815,2.119109,1.869362,2.068468,2.068468,734317453
2022-02-25,2.068901,2.160396,2.038580,2.144144,2.144144,380976995
2022-02-26,2.144432,2.221533,2.141211,2.161377,2.161377,284894632
2022-02-27,2.161167,2.243597,2.069975,2.092878,2.092878,420365802
